光刻胶型号,厚度范围
AZ4533,"转速为4000 rpm时，膜厚约为3.3 µm；通过改变转速，膜厚可达2.5-5 µm。"
AZ4562,"转速为4000 rpm时，膜厚约为6 µm；通过改变转速，膜厚可达4.5-10 µm；调整旋转轮廓（中等旋涂速度下短时间旋涂），可达30 µm膜厚。"
